sk_indicador,tabela,variavel_id,variavel_nome,unidade,categoria_ped
1,4097,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Mil pessoas,Ocupado
2,4097,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,Ocupado
3,4097,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,Ocupado
4,4097,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,Ocupado
5,5440,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal","Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido no trabalho principal",Reais,Rendimento
6,6374,Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade,Média de horas habitualmente trabalhadas por semana no trabalho principal das pessoas de 14 anos ou mais de idade,Horas,Horas
7,6374,Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade,Média de horas efetivamente trabalhadas na semana de referência no trabalho principal das pessoas de 14 anos ou mais de idade,Horas,Horas
8,6383,"Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência como trabalhadores domésticos no trabalho principal","Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência como trabalhadores domésticos no trabalho principal",Mil pessoas,Ocupado
9,6383,"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência como trabalhadores domésticos no trabalho principal","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência como trabalhadores domésticos no trabalho principal",%,Ocupado
10,6383,"Distribuição percentual das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência como trabalhadores domésticos no trabalho principal","Distribuição percentual das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência como trabalhadores domésticos no trabalho principal",%,Ocupado
11,6383,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência como trabalhadores domésticos no trabalho principal","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência como trabalhadores domésticos no trabalho principal",%,Ocupado
12,8529,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,Informalidade
13,8529,Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,%,Informalidade
14,8529,"Variação em relação ao trimestre anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência","Variação em relação ao trimestre anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",%,Informalidade
15,8529,"Situação da Variação em relação ao trimestre anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência","Situação da Variação em relação ao trimestre anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",Nenhuma,Informalidade
16,8529,"Variação em relação ao mesmo trimestre do ano anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência","Variação em relação ao mesmo trimestre do ano anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",%,Informalidade
17,8529,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência","Situação da Variação em relação ao mesmo trimestre do ano anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",Nenhuma,Informalidade
