sk_pergunta,publico,bloco,pergunta_num,pergunta_slug
1,contratante,perfil,1,faixa_etaria
2,contratante,perfil,2,arranjo_moradia
3,contratante,perfil,3,tamanho_residencia
4,contratante,habitos,4,frequencia_contratacao
5,contratante,habitos,5,canal_contratacao
6,contratante,habitos,6,valor_diaria_pago
7,contratante,dores,7,maior_frustracao_aberta
8,contratante,dores,8,dificuldade_ultima_hora_1a5
9,contratante,dores,9,profissional_desmarcou
10,contratante,decisao,10,fatores_contratacao_novo
11,contratante,decisao,11,varinha_magica_aberta
12,diarista,perfil,1,faixa_etaria
13,diarista,perfil,2,tempo_experiencia
14,diarista,perfil,3,unica_fonte_renda
15,diarista,realidade_trabalho,4,canal_consegue_diarias
16,diarista,realidade_trabalho,5,dias_faxina_semana
17,diarista,realidade_trabalho,6,dias_livres_sem_cliente
18,diarista,dores,7,dificuldade_cliente_novo_aberta
19,diarista,dores,8,frequencia_desmarque_cliente
20,diarista,dores,9,consequencia_desmarque
21,diarista,dores,10,como_define_preco
22,diarista,tecnologia,11,maior_medo_app
23,diarista,tecnologia,12,confianca_cliente_desconhecido_aberta
24,diarista,formalizacao,13,mei_ativo
25,diarista,formalizacao,14,motivo_nao_mei
