sk_respondente,respondente_id,publico,carimbo,fonte_arquivo
1,1,contratante,2026-03-23 16:36:16.600,pesquisa-contratante.xlsx
2,2,contratante,2026-03-23 16:52:14.776,pesquisa-contratante.xlsx
3,3,contratante,2026-03-23 22:22:57.824,pesquisa-contratante.xlsx
4,4,contratante,2026-03-24 07:06:47.496,pesquisa-contratante.xlsx
5,5,contratante,2026-03-24 14:12:11.902,pesquisa-contratante.xlsx
6,6,contratante,2026-03-24 14:51:16.640,pesquisa-contratante.xlsx
7,7,contratante,2026-03-24 16:08:02.275,pesquisa-contratante.xlsx
8,8,contratante,2026-03-24 18:02:41.390,pesquisa-contratante.xlsx
9,9,contratante,2026-03-24 18:03:19.611,pesquisa-contratante.xlsx
10,10,contratante,2026-03-24 18:03:56.180,pesquisa-contratante.xlsx
11,11,contratante,2026-03-24 18:05:29.471,pesquisa-contratante.xlsx
12,12,contratante,2026-03-24 18:06:17.115,pesquisa-contratante.xlsx
13,13,contratante,2026-03-24 18:06:53.372,pesquisa-contratante.xlsx
14,14,contratante,2026-03-24 18:19:46.080,pesquisa-contratante.xlsx
15,15,contratante,2026-03-24 18:20:34.264,pesquisa-contratante.xlsx
16,16,contratante,2026-03-24 18:21:39.067,pesquisa-contratante.xlsx
17,17,contratante,2026-03-24 18:27:27.517,pesquisa-contratante.xlsx
18,18,contratante,2026-03-24 18:43:07.909,pesquisa-contratante.xlsx
19,19,contratante,2026-03-24 18:52:43.021,pesquisa-contratante.xlsx
20,20,contratante,2026-03-24 19:10:38.159,pesquisa-contratante.xlsx
21,21,contratante,2026-03-24 19:15:06.376,pesquisa-contratante.xlsx
22,22,contratante,2026-03-24 19:19:15.991,pesquisa-contratante.xlsx
23,23,contratante,2026-03-24 19:24:55.289,pesquisa-contratante.xlsx
24,24,contratante,2026-03-24 19:37:26.345,pesquisa-contratante.xlsx
25,25,contratante,2026-03-24 19:39:36.488,pesquisa-contratante.xlsx
26,26,contratante,2026-03-24 19:40:24.807,pesquisa-contratante.xlsx
27,27,contratante,2026-03-24 19:42:12.918,pesquisa-contratante.xlsx
28,28,contratante,2026-03-24 19:44:37.119,pesquisa-contratante.xlsx
29,29,contratante,2026-03-24 19:44:38.104,pesquisa-contratante.xlsx
30,30,contratante,2026-03-24 19:44:49.352,pesquisa-contratante.xlsx
31,31,contratante,2026-03-24 19:54:25.663,pesquisa-contratante.xlsx
32,32,contratante,2026-03-24 19:55:31.781,pesquisa-contratante.xlsx
33,33,contratante,2026-03-24 20:04:40.320,pesquisa-contratante.xlsx
34,34,contratante,2026-03-24 20:07:36.926,pesquisa-contratante.xlsx
35,35,contratante,2026-03-24 20:11:31.036,pesquisa-contratante.xlsx
36,36,contratante,2026-03-24 20:15:48.225,pesquisa-contratante.xlsx
37,37,contratante,2026-03-24 20:21:42.700,pesquisa-contratante.xlsx
38,38,contratante,2026-03-24 20:31:54.097,pesquisa-contratante.xlsx
39,39,contratante,2026-03-24 20:36:21.798,pesquisa-contratante.xlsx
40,40,contratante,2026-03-24 20:39:51.722,pesquisa-contratante.xlsx
41,41,contratante,2026-03-24 20:39:52.888,pesquisa-contratante.xlsx
42,42,contratante,2026-03-24 20:56:23.429,pesquisa-contratante.xlsx
43,43,contratante,2026-03-24 20:58:17.125,pesquisa-contratante.xlsx
44,44,contratante,2026-03-24 21:10:23.739,pesquisa-contratante.xlsx
45,45,contratante,2026-03-24 21:50:44.954,pesquisa-contratante.xlsx
46,46,contratante,2026-03-24 22:34:36.412,pesquisa-contratante.xlsx
47,47,contratante,2026-03-25 07:04:23.770,pesquisa-contratante.xlsx
48,48,contratante,2026-03-25 07:32:02.170,pesquisa-contratante.xlsx
49,49,contratante,2026-03-25 10:07:51.270,pesquisa-contratante.xlsx
50,50,contratante,2026-03-25 11:12:21.040,pesquisa-contratante.xlsx
51,51,contratante,2026-03-25 11:16:16.533,pesquisa-contratante.xlsx
52,52,contratante,2026-03-25 12:00:25.404,pesquisa-contratante.xlsx
53,53,contratante,2026-03-25 12:02:52.345,pesquisa-contratante.xlsx
54,54,contratante,2026-03-25 12:02:58.257,pesquisa-contratante.xlsx
55,55,contratante,2026-03-25 12:05:48.745,pesquisa-contratante.xlsx
56,56,contratante,2026-03-25 12:07:22.699,pesquisa-contratante.xlsx
57,57,contratante,2026-03-25 12:09:36.234,pesquisa-contratante.xlsx
58,58,contratante,2026-03-25 14:28:02.528,pesquisa-contratante.xlsx
59,59,contratante,2026-03-25 14:29:55.644,pesquisa-contratante.xlsx
60,60,contratante,2026-03-25 14:30:02.648,pesquisa-contratante.xlsx
