sk_tempo,sk_territorio,sk_indicador,sk_recorte,tabela,valor,valor_raw,unidade_medida_nome
1,1,1,2,4097,52447.0,52447,Mil pessoas
1,1,1,3,4097,39167.0,39167,Mil pessoas
1,1,1,4,4097,13280.0,13280,Mil pessoas
1,1,1,5,4097,5438.0,5438,Mil pessoas
1,1,1,6,4097,1293.0,1293,Mil pessoas
1,1,1,7,4097,4145.0,4145,Mil pessoas
1,1,1,8,4097,1488.0,1488,Mil pessoas
1,1,1,9,4097,3106.0,3106,Mil pessoas
1,1,1,10,4097,25960.0,25960,Mil pessoas
1,1,2,2,4097,0.4,0.4,%
1,1,2,3,4097,0.5,0.5,%
1,1,2,4,4097,0.9,0.9,%
1,1,2,5,4097,1.3,1.3,%
1,1,2,6,4097,2.6,2.6,%
1,1,2,7,4097,1.4,1.4,%
1,1,2,8,4097,2.6,2.6,%
1,1,2,9,4097,1.5,1.5,%
1,1,2,10,4097,0.7,0.7,%
1,1,3,2,4097,51.4,51.4,%
1,1,3,3,4097,38.4,38.4,%
1,1,3,4,4097,13.0,13.0,%
1,1,3,5,4097,5.3,5.3,%
1,1,3,6,4097,1.3,1.3,%
1,1,3,7,4097,4.1,4.1,%
1,1,3,8,4097,1.5,1.5,%
1,1,3,9,4097,3.0,3.0,%
1,1,3,10,4097,25.5,25.5,%
1,1,4,2,4097,0.4,0.4,%
1,1,4,3,4097,0.5,0.5,%
1,1,4,4,4097,0.9,0.9,%
1,1,4,5,4097,1.3,1.3,%
1,1,4,6,4097,2.6,2.6,%
1,1,4,7,4097,1.4,1.4,%
1,1,4,8,4097,2.6,2.6,%
1,1,4,9,4097,1.5,1.5,%
1,1,4,10,4097,0.6,0.6,%
1,1,5,6,5440,2251.0,2251,Reais
1,1,5,7,5440,1242.0,1242,Reais
1,1,6,11,6374,39.6,39.6,Horas
1,1,6,12,6374,45.0,45.0,Horas
1,1,7,11,6374,38.0,38.0,Horas
1,1,7,12,6374,43.9,43.9,Horas
1,1,8,13,6383,5438.0,5438,Mil pessoas
1,1,8,14,6383,3615.0,3615,Mil pessoas
1,1,8,15,6383,1822.0,1822,Mil pessoas
1,1,9,13,6383,1.3,1.3,%
1,1,9,14,6383,1.6,1.6,%
1,1,9,15,6383,2.3,2.3,%
1,1,10,13,6383,100.0,100.0,%
1,1,10,14,6383,66.5,66.5,%
1,1,10,15,6383,33.5,33.5,%
1,1,11,13,6383,,-,%
1,1,11,14,6383,0.9,0.9,%
1,1,11,15,6383,1.9,1.9,%
