publico,bloco,pergunta_slug,pergunta_num,valor_texto,contagem,percentual,fonte
contratante,perfil,faixa_etaria,1,45 a 54 anos,34,32.08,pesquisa_primaria
contratante,perfil,faixa_etaria,1,55 anos ou mais,31,29.25,pesquisa_primaria
contratante,perfil,faixa_etaria,1,35 a 44 anos,29,27.36,pesquisa_primaria
contratante,perfil,faixa_etaria,1,25 a 34 anos,7,6.6,pesquisa_primaria
contratante,perfil,faixa_etaria,1,18 a 24 anos,5,4.72,pesquisa_primaria
contratante,perfil,arranjo_moradia,2,Moro com família/filhos.,88,83.02,pesquisa_primaria
contratante,perfil,arranjo_moradia,2,Moro com o(a) parceiro(a) (sem filhos).,13,12.26,pesquisa_primaria
contratante,perfil,arranjo_moradia,2,Moro sozinho(a).,5,4.72,pesquisa_primaria
contratante,perfil,tamanho_residencia,3,51 a 90m² (Apartamento/Casa média),38,35.85,pesquisa_primaria
contratante,perfil,tamanho_residencia,3,Mais de 150m²,37,34.91,pesquisa_primaria
contratante,perfil,tamanho_residencia,3,91 a 150m² (Apartamento/Casa grande),27,25.47,pesquisa_primaria
contratante,perfil,tamanho_residencia,3,Até 50m² (Apartamento pequeno/Estúdio),3,2.83,pesquisa_primaria
contratante,perfil,tamanho_residencia,3,,1,0.94,pesquisa_primaria
contratante,habitos,frequencia_contratacao,4,Semanalmente.,34,32.08,pesquisa_primaria
contratante,habitos,frequencia_contratacao,4,Apenas em ocasiões muito esporádicas.,26,24.53,pesquisa_primaria
contratante,habitos,frequencia_contratacao,4,Mais de uma vez por semana.,18,16.98,pesquisa_primaria
contratante,habitos,frequencia_contratacao,4,Quinzenalmente.,14,13.21,pesquisa_primaria
contratante,habitos,frequencia_contratacao,4,Nunca contratei,8,7.55,pesquisa_primaria
contratante,habitos,frequencia_contratacao,4,Mensalmente.,6,5.66,pesquisa_primaria
contratante,habitos,canal_contratacao,5,Exclusivamente por indicação de amigos/família.,64,60.38,pesquisa_primaria
contratante,habitos,canal_contratacao,5,A pessoa já trabalha comigo há muito tempo.,22,20.75,pesquisa_primaria
contratante,habitos,canal_contratacao,5,Grupos de bairro no Facebook/WhatsApp.,11,10.38,pesquisa_primaria
contratante,habitos,canal_contratacao,5,Outro.,5,4.72,pesquisa_primaria
contratante,habitos,canal_contratacao,5,Agências especializadas de limpeza.,4,3.77,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,200,19,17.92,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,250,17,16.04,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,220,9,8.49,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,150,7,6.6,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,180,4,3.77,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,100,3,2.83,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$ 220,00",3,2.83,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,120,2,1.89,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,210,2,1.89,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,225,2,1.89,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,230,2,1.89,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,240,2,1.89,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$200,00",2,1.89,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,,2,1.89,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,1400 reais ,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,150 reais,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"180,00 a 230,00",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"200 + 14,68 da condução",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,200 a 230,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,200 a 250,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,200 reais,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"200,00 a 250,00",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,230 reais ,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,230.09,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,250 a 300,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,250 a 350 reais ,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,250 dólares,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,250 reais ,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,250.00,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,260,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,De 350 a 400 reais,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,Na época que contratava 150 reais ,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$ 150,00",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$ 160,00",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$ 170,00 + A passagem de ônibus - R$ 25,00",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$ 200,00 a R$ 250,00",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,R$ 220 + 20 de passagem ,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$ 230,00",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$ 250,00",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,R$200.00,1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$220,00(diária + passagens)",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$230,00",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,"R$250,00",1,0.94,pesquisa_primaria
contratante,habitos,valor_diaria_pago,6,ola! sou de baixar Renda quem faz a limpeza e eu minha esposa ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Confiança ,11,10.38,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,,5,4.72,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Serviço mal feito ,2,1.89,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,confiança,2,1.89,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,"A maior preocupação é saber se é
Honesto, pois estará dentro da minha casa. ",1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,A má qualidade na entrega do trabalho.,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,A profissional nao atender aos requisitos solicitados,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Achar pessoas qualificadas .,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Achar profissional de confiança e que cumpre com o combinado.,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Agilidade e confiança ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,"Algumas profissionais impõem inúmeras  exigências, às  vezes determinam até  as marcas dos produtos que utilizaram na limpeza. Muitas utilizam os produtos  sem nenhum critério,  chegam a desperdiçar  mesmo. Muitas vezes é  necessário  ficar o tempo inteiro ""fiscalizando"" e orientando a profissional.  ",1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Alguém q não roube minhas coisas,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Alguém que atenda a todas as minhas exigências de limpeza e/ou culinária ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Alguém que realmente faça um bom serviço,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,"Atualmente, não consigo encontrar alguém que trabalhe bem e tenha disponibilidade para vir de 15 em 15 dias.",1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Comprometimento,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Comprometimento e proatividade por parte da profissional,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Compromisso,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Compromisso e serviço bem feito ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Confiabilidade ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Confiany,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Confiança,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Confiança e bom serviço,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Confiança e qualidade do serviço. ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Confiança é excelente serviço. ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Confiar na pessoa que irá à minha casa.,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Diligência na execução do trabalho,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Disponibilidade ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,E um paliativo. Nem sempre fica 100%,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Eficiência ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Encontrar alguém de confiança e que seja ágil e caprichoso.,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Encontrar alguém que faça o trabalho com presteza ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,"Encontrar pessoa de confiança, que tenha assiduidade, que faça o serviço sem que eu tenha que ficar pedindo, e que cobre preço justo.",1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Encontrar uma faxineira boa de serviço ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Entrevista ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Extravios,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,"Falta de Confiança, falta de compromisso com o horário, uso excessivo de celular durante o horário de trabalho.",1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Falta de comprometimento e não sabem fazer o serviço. ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Falta de compromisso. Não limpam direito.,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Falta de confiança ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Falta de especialização ,1,0.94,pesquisa_primaria
contratante,dores,maior_frustracao_aberta,7,Falta de experiência na função ,1,0.94,pesquisa_primaria
