sk_respondente,sk_pergunta,publico,bloco,pergunta_slug,valor_texto,valor_numerico,carimbo,fonte
1,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-23 16:36:16.600,pesquisa_primaria
2,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-23 16:52:14.776,pesquisa_primaria
3,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-23 22:22:57.824,pesquisa_primaria
4,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 07:06:47.496,pesquisa_primaria
5,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 14:12:11.902,pesquisa_primaria
6,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 14:51:16.640,pesquisa_primaria
7,1,contratante,perfil,faixa_etaria,18 a 24 anos,18.0,2026-03-24 16:08:02.275,pesquisa_primaria
8,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 18:02:41.390,pesquisa_primaria
9,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 18:03:19.611,pesquisa_primaria
10,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 18:03:56.180,pesquisa_primaria
11,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 18:05:29.471,pesquisa_primaria
12,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 18:06:17.115,pesquisa_primaria
13,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 18:06:53.372,pesquisa_primaria
14,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 18:19:46.080,pesquisa_primaria
15,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 18:20:34.264,pesquisa_primaria
16,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 18:21:39.067,pesquisa_primaria
17,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 18:27:27.517,pesquisa_primaria
18,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 18:43:07.909,pesquisa_primaria
19,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 18:52:43.021,pesquisa_primaria
20,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 19:10:38.159,pesquisa_primaria
21,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 19:15:06.376,pesquisa_primaria
22,1,contratante,perfil,faixa_etaria,25 a 34 anos,25.0,2026-03-24 19:19:15.991,pesquisa_primaria
23,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 19:24:55.289,pesquisa_primaria
24,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 19:37:26.345,pesquisa_primaria
25,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 19:39:36.488,pesquisa_primaria
26,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 19:40:24.807,pesquisa_primaria
27,1,contratante,perfil,faixa_etaria,25 a 34 anos,25.0,2026-03-24 19:42:12.918,pesquisa_primaria
28,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 19:44:37.119,pesquisa_primaria
29,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 19:44:38.104,pesquisa_primaria
30,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 19:44:49.352,pesquisa_primaria
31,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 19:54:25.663,pesquisa_primaria
32,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 19:55:31.781,pesquisa_primaria
33,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 20:04:40.320,pesquisa_primaria
34,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 20:07:36.926,pesquisa_primaria
35,1,contratante,perfil,faixa_etaria,18 a 24 anos,18.0,2026-03-24 20:11:31.036,pesquisa_primaria
36,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 20:15:48.225,pesquisa_primaria
37,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 20:21:42.700,pesquisa_primaria
38,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 20:31:54.097,pesquisa_primaria
39,1,contratante,perfil,faixa_etaria,18 a 24 anos,18.0,2026-03-24 20:36:21.798,pesquisa_primaria
40,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 20:39:51.722,pesquisa_primaria
41,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 20:39:52.888,pesquisa_primaria
42,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-24 20:56:23.429,pesquisa_primaria
43,1,contratante,perfil,faixa_etaria,18 a 24 anos,18.0,2026-03-24 20:58:17.125,pesquisa_primaria
44,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 21:10:23.739,pesquisa_primaria
45,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-24 21:50:44.954,pesquisa_primaria
46,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-24 22:34:36.412,pesquisa_primaria
47,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-25 07:04:23.770,pesquisa_primaria
48,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 07:32:02.170,pesquisa_primaria
49,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-25 10:07:51.270,pesquisa_primaria
50,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 11:12:21.040,pesquisa_primaria
51,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-25 11:16:16.533,pesquisa_primaria
52,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-25 12:00:25.404,pesquisa_primaria
53,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 12:02:52.345,pesquisa_primaria
54,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-25 12:02:58.257,pesquisa_primaria
55,1,contratante,perfil,faixa_etaria,25 a 34 anos,25.0,2026-03-25 12:05:48.745,pesquisa_primaria
56,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-25 12:07:22.699,pesquisa_primaria
57,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-25 12:09:36.234,pesquisa_primaria
58,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-25 14:28:02.528,pesquisa_primaria
59,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-25 14:29:55.644,pesquisa_primaria
60,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 14:30:02.648,pesquisa_primaria
61,1,contratante,perfil,faixa_etaria,25 a 34 anos,25.0,2026-03-25 14:31:27.290,pesquisa_primaria
62,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-25 14:32:02.864,pesquisa_primaria
63,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-25 14:33:02.846,pesquisa_primaria
64,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 14:35:50.118,pesquisa_primaria
65,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 14:37:25.286,pesquisa_primaria
66,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 14:39:04.595,pesquisa_primaria
67,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 14:56:47.032,pesquisa_primaria
68,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 15:03:59.150,pesquisa_primaria
69,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-25 15:07:37.987,pesquisa_primaria
70,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 15:14:08.945,pesquisa_primaria
71,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 15:27:57.886,pesquisa_primaria
72,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-25 15:30:24.891,pesquisa_primaria
73,1,contratante,perfil,faixa_etaria,25 a 34 anos,25.0,2026-03-25 16:26:56.616,pesquisa_primaria
74,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 16:31:10.726,pesquisa_primaria
75,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 17:11:01.770,pesquisa_primaria
76,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-25 20:13:04.614,pesquisa_primaria
77,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-25 21:04:08.540,pesquisa_primaria
78,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-25 21:48:56.259,pesquisa_primaria
79,1,contratante,perfil,faixa_etaria,25 a 34 anos,25.0,2026-03-25 22:38:28.375,pesquisa_primaria
80,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-25 23:07:09.681,pesquisa_primaria
81,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-26 00:35:02.800,pesquisa_primaria
82,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-26 07:14:02.312,pesquisa_primaria
83,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-26 07:23:32.605,pesquisa_primaria
84,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-26 08:27:09.513,pesquisa_primaria
85,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-26 09:05:18.008,pesquisa_primaria
86,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-26 09:17:41.568,pesquisa_primaria
87,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-26 09:59:48.158,pesquisa_primaria
88,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-26 10:06:46.324,pesquisa_primaria
89,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-26 11:45:11.218,pesquisa_primaria
90,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-26 11:55:05.102,pesquisa_primaria
91,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-26 12:11:19.281,pesquisa_primaria
92,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-26 12:38:34.758,pesquisa_primaria
93,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-26 12:54:53.135,pesquisa_primaria
94,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-26 13:06:54.424,pesquisa_primaria
95,1,contratante,perfil,faixa_etaria,55 anos ou mais,55.0,2026-03-26 13:53:06.043,pesquisa_primaria
96,1,contratante,perfil,faixa_etaria,45 a 54 anos,45.0,2026-03-27 07:26:35.537,pesquisa_primaria
97,1,contratante,perfil,faixa_etaria,35 a 44 anos,35.0,2026-03-27 07:33:30.311,pesquisa_primaria
